listing_id,clean,location,beach,host,comfortable,close,pool,space,quiet,beautiful,restaurant,quick,neighborhood,kitchen,friendly
958,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0
2595,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3831,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
5178,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
5238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5295,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5441,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5456,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0
5769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6413,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0
6448,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
6848,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1
7097,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
7126,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7726,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0
8024,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
8343,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
8490,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
8739,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1
9225,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0
9419,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9460,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
9531,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0
9783,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10251,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1
11708,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12048,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
12068,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
12318,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12522,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
12937,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13394,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13552,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
14125,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
14287,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0
14290,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0
14314,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
14377,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14386,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
14468,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14765,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
15220,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15338,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
15385,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
16326,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
16580,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0
16595,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
16821,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16974,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
17092,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17298,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17951,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18127,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18152,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1
18195,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
18590,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
18728,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
18904,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1
19159,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19619,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20299,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20611,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
20717,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1
20724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20734,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
20868,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
20927,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1
20928,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
21126,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0
21145,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
21293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22651,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22828,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22982,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0
23135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23192,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
23545,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
23611,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
23630,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0
24143,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1
24390,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
24450,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
24463,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0
24685,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1
24723,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0
25002,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0
25235,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
25269,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
25463,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0
25879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25927,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
26362,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
26408,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26969,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
27024,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0
27385,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0
27531,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
27644,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
29373,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
29455,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
